




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (4895)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (expected)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (over/under)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (fold Enrichment)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (raw P-value)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (FDR)
response to wounding (GO:0009611)	543	178	129.06	+	1.38	2.18E-04	1.27E-02
regulation of cellular protein localization (GO:1903827)	561	183	133.34	+	1.37	2.25E-04	1.30E-02
keratinocyte differentiation (GO:0030216)	270	34	64.17	-	.53	2.31E-04	1.33E-02
axon development (GO:0061564)	421	144	100.06	+	1.44	2.30E-04	1.33E-02
regulation of actin filament-based process (GO:0032970)	397	137	94.36	+	1.45	2.37E-04	1.36E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	76	116.94	-	.65	2.42E-04	1.38E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	92	58.23	+	1.58	2.77E-04	1.58E-02
negative regulation of phosphorylation (GO:0042326)	395	136	93.88	+	1.45	2.84E-04	1.61E-02
cellular component biogenesis (GO:0044085)	2754	753	654.57	+	1.15	2.89E-04	1.63E-02
positive regulation of protein kinase activity (GO:0045860)	539	176	128.11	+	1.37	2.97E-04	1.67E-02
immune response-regulating signaling pathway (GO:0002764)	495	77	117.65	-	.65	3.11E-04	1.74E-02
positive regulation of cellular component movement (GO:0051272)	558	181	132.62	+	1.36	3.10E-04	1.74E-02
cell cycle (GO:0007049)	1316	384	312.79	+	1.23	3.14E-04	1.74E-02
regulation of anatomical structure size (GO:0090066)	514	169	122.17	+	1.38	3.15E-04	1.74E-02
head development (GO:0060322)	803	248	190.86	+	1.30	3.14E-04	1.75E-02
macromolecule localization (GO:0033036)	2496	687	593.25	+	1.16	3.37E-04	1.85E-02
epithelial tube morphogenesis (GO:0060562)	309	110	73.44	+	1.50	3.54E-04	1.94E-02
axon guidance (GO:0007411)	277	101	65.84	+	1.53	3.61E-04	1.97E-02
neuron projection guidance (GO:0097485)	278	101	66.07	+	1.53	3.70E-04	2.02E-02
establishment of localization (GO:0051234)	4631	1218	1100.69	+	1.11	3.77E-04	2.05E-02
central nervous system development (GO:0007417)	1000	300	237.68	+	1.26	3.91E-04	2.12E-02
negative regulation of protein binding (GO:0032091)	92	43	21.87	+	1.97	4.10E-04	2.21E-02
sensory organ development (GO:0007423)	555	179	131.91	+	1.36	4.26E-04	2.29E-02
multicellular organismal process (GO:0032501)	6926	1777	1646.17	+	1.08	4.29E-04	2.30E-02
regulation of protein ubiquitination (GO:0031396)	213	81	50.63	+	1.60	4.45E-04	2.37E-02
negative regulation of binding (GO:0051100)	160	65	38.03	+	1.71	4.51E-04	2.40E-02
positive regulation of cell motility (GO:2000147)	545	176	129.54	+	1.36	4.55E-04	2.41E-02
regulation of Wnt signaling pathway (GO:0030111)	377	129	89.61	+	1.44	4.88E-04	2.58E-02
cellular response to external stimulus (GO:0071496)	344	119	81.76	+	1.46	5.36E-04	2.82E-02
brain development (GO:0007420)	759	234	180.40	+	1.30	5.47E-04	2.86E-02
negative regulation of phosphate metabolic process (GO:0045936)	483	158	114.80	+	1.38	5.46E-04	2.87E-02
tissue development (GO:0009888)	1729	488	410.95	+	1.19	5.73E-04	2.99E-02
antimicrobial humoral response (GO:0019730)	154	16	36.60	-	.44	5.89E-04	3.06E-02
mitotic cell cycle process (GO:1903047)	675	211	160.43	+	1.32	5.93E-04	3.07E-02
regulation of cell cycle process (GO:0010564)	792	242	188.24	+	1.29	6.07E-04	3.13E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	301	241.01	+	1.25	6.32E-04	3.26E-02
negative regulation of phosphorus metabolic process (GO:0010563)	484	158	115.04	+	1.37	6.57E-04	3.34E-02
positive regulation of kinase activity (GO:0033674)	614	194	145.93	+	1.33	6.50E-04	3.34E-02
peptidyl-amino acid modification (GO:0018193)	886	267	210.58	+	1.27	6.53E-04	3.34E-02
response to extracellular stimulus (GO:0009991)	531	171	126.21	+	1.35	6.56E-04	3.34E-02
regulation of humoral immune response (GO:0002920)	142	14	33.75	-	.41	6.86E-04	3.48E-02
negative regulation of apoptotic signaling pathway (GO:2001234)	230	85	54.67	+	1.55	6.89E-04	3.48E-02
regulation of cellular component size (GO:0032535)	389	131	92.46	+	1.42	7.17E-04	3.61E-02
regulation of actin filament organization (GO:0110053)	277	99	65.84	+	1.50	7.34E-04	3.67E-02
positive regulation of cell differentiation (GO:0045597)	840	254	199.65	+	1.27	7.34E-04	3.68E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	975	290	231.74	+	1.25	7.48E-04	3.73E-02
positive regulation of cellular catabolic process (GO:0031331)	450	148	106.96	+	1.38	7.53E-04	3.75E-02
regulation of MAPK cascade (GO:0043408)	707	218	168.04	+	1.30	7.75E-04	3.84E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	48	26.38	+	1.82	7.99E-04	3.92E-02
cell junction organization (GO:0034330)	502	162	119.31	+	1.36	8.09E-04	3.92E-02
cellular response to extracellular stimulus (GO:0031668)	269	96	63.94	+	1.50	7.97E-04	3.92E-02
mitotic cell cycle (GO:0000278)	750	230	178.26	+	1.29	7.96E-04	3.93E-02
aromatic compound biosynthetic process (GO:0019438)	1060	312	251.94	+	1.24	8.09E-04	3.93E-02
positive regulation of cellular component biogenesis (GO:0044089)	534	171	126.92	+	1.35	8.04E-04	3.93E-02
positive regulation of catabolic process (GO:0009896)	519	167	123.36	+	1.35	8.15E-04	3.94E-02
pattern specification process (GO:0007389)	426	141	101.25	+	1.39	8.08E-04	3.94E-02
muscle structure development (GO:0061061)	473	154	112.42	+	1.37	8.29E-04	3.96E-02
response to peptide (GO:1901652)	488	158	115.99	+	1.36	8.26E-04	3.96E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	69	42.31	+	1.63	8.26E-04	3.97E-02
positive regulation of cell migration (GO:0030335)	520	167	123.59	+	1.35	8.24E-04	3.97E-02
movement of cell or subcellular component (GO:0006928)	1596	451	379.34	+	1.19	8.48E-04	4.04E-02
regulation of MAP kinase activity (GO:0043405)	310	108	73.68	+	1.47	8.72E-04	4.14E-02
morphogenesis of embryonic epithelium (GO:0016331)	145	59	34.46	+	1.71	8.84E-04	4.16E-02
positive regulation of locomotion (GO:0040017)	560	178	133.10	+	1.34	8.83E-04	4.17E-02
apoptotic process (GO:0006915)	913	273	217.00	+	1.26	8.82E-04	4.18E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	434	143	103.15	+	1.39	8.94E-04	4.19E-02
cell-cell signaling (GO:0007267)	1131	330	268.82	+	1.23	9.00E-04	4.21E-02
response to nutrient levels (GO:0031667)	501	161	119.08	+	1.35	9.55E-04	4.44E-02
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	49	27.33	+	1.79	9.53E-04	4.44E-02
actin filament bundle assembly (GO:0051017)	58	30	13.79	+	2.18	9.60E-04	4.45E-02
cell surface receptor signaling pathway (GO:0007166)	2495	679	593.01	+	1.15	9.66E-04	4.45E-02
phagocytosis, engulfment (GO:0006911)	132	13	31.37	-	.41	9.63E-04	4.45E-02
regulation of cellular localization (GO:0060341)	841	253	199.89	+	1.27	9.73E-04	4.47E-02
heterocycle biosynthetic process (GO:0018130)	1049	308	249.33	+	1.24	9.81E-04	4.50E-02
movement in host environment (GO:0052126)	124	52	29.47	+	1.76	1.00E-03	4.56E-02
regulation of cell cycle phase transition (GO:1901987)	522	167	124.07	+	1.35	9.98E-04	4.56E-02
cell-cell junction organization (GO:0045216)	185	71	43.97	+	1.61	1.01E-03	4.60E-02
positive regulation of programmed cell death (GO:0043068)	575	181	136.67	+	1.32	1.02E-03	4.64E-02
positive regulation of apoptotic process (GO:0043065)	560	177	133.10	+	1.33	1.04E-03	4.71E-02
positive regulation of intracellular transport (GO:0032388)	228	83	54.19	+	1.53	1.10E-03	4.93E-02
urogenital system development (GO:0001655)	324	111	77.01	+	1.44	1.11E-03	4.98E-02
